timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 21:00:45.737, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5303 MiB, 16303 MiB, 66
2026/09/23 21:00:47.737, NVIDIA GeForce RTX 5080 Laptop GPU, 91 %, 5201 MiB, 16303 MiB, 67
2026/09/23 21:00:49.737, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5178 MiB, 16303 MiB, 67
2026/09/23 21:00:51.737, NVIDIA GeForce RTX 5080 Laptop GPU, 94 %, 5178 MiB, 16303 MiB, 67
2026/09/23 21:00:53.738, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5201 MiB, 16303 MiB, 68
2026/09/23 21:00:55.738, NVIDIA GeForce RTX 5080 Laptop GPU, 86 %, 5230 MiB, 16303 MiB, 67
2026/09/23 21:00:57.738, NVIDIA GeForce RTX 5080 Laptop GPU, 43 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:00:59.739, NVIDIA GeForce RTX 5080 Laptop GPU, 89 %, 5178 MiB, 16303 MiB, 67
2026/09/23 21:01:01.739, NVIDIA GeForce RTX 5080 Laptop GPU, 89 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:03.740, NVIDIA GeForce RTX 5080 Laptop GPU, 83 %, 5178 MiB, 16303 MiB, 67
2026/09/23 21:01:05.740, NVIDIA GeForce RTX 5080 Laptop GPU, 82 %, 5201 MiB, 16303 MiB, 68
2026/09/23 21:01:07.740, NVIDIA GeForce RTX 5080 Laptop GPU, 70 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:09.740, NVIDIA GeForce RTX 5080 Laptop GPU, 64 %, 5201 MiB, 16303 MiB, 68
2026/09/23 21:01:11.740, NVIDIA GeForce RTX 5080 Laptop GPU, 88 %, 5178 MiB, 16303 MiB, 67
2026/09/23 21:01:13.741, NVIDIA GeForce RTX 5080 Laptop GPU, 92 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:15.741, NVIDIA GeForce RTX 5080 Laptop GPU, 87 %, 5178 MiB, 16303 MiB, 68
2026/09/23 21:01:17.741, NVIDIA GeForce RTX 5080 Laptop GPU, 94 %, 5178 MiB, 16303 MiB, 69
